Energy [GeV],Xsec [pb]
70.0,1177100.0
90.0,1453600.0
500.0,3592000.0
300.0,3000000.0
70.0,1187800.0
180.0,2331500.0
600.0,3773500.0
400.0,3339300.0
600.0,3715600.0
500.0,3582600.0
30.0,452640.0
100.0,1466900.0
600.0,3729200.0
800.0,3997400.0
30.0,455020.0
10.0,58713.0
150.0,2095000.0
60.0,1013500.0
50.0,845860.0
80.0,1316900.0
50.0,839700.0
20.0,239300.0
180.0,2344200.0
60.0,1022300.0
20.0,242140.0
300.0,3004400.0
150.0,2094400.0
800.0,3988000.0
180.0,2334100.0
1000.0,4160200.0
40.0,366490.0
70.0,1184300.0
100.0,1601200.0
700.0,3863600.0
700.0,3916700.0
600.0,3760700.0
300.0,3012300.0
80.0,1322800.0
700.0,3730100.0
1000.0,4218900.0
50.0,806040.0
200.0,2475500.0
60.0,1027100.0
500.0,3548900.0
20.0,240980.0
120.0,1810800.0
500.0,3546200.0
500.0,3602800.0
1000.0,4112200.0
600.0,3764500.0
70.0,616110.0
180.0,2283100.0
20.0,242960.0
90.0,1459600.0
200.0,2441500.0
150.0,2101200.0
100.0,1571600.0
120.0,1817900.0
400.0,3300600.0
400.0,3307900.0
120.0,1813800.0
30.0,456060.0
200.0,2492000.0
500.0,3551900.0
700.0,3891000.0
100.0,1532000.0
200.0,2406800.0
400.0,3318800.0
900.0,3835300.0
800.0,4051400.0
80.0,1335800.0
60.0,1022800.0
40.0,651930.0
20.0,237360.0
200.0,2474600.0
400.0,3299800.0
30.0,406370.0
150.0,2103200.0
20.0,242750.0
90.0,1469300.0
180.0,2327900.0
30.0,432150.0
30.0,409240.0
120.0,1809900.0
20.0,243360.0
900.0,4111600.0
180.0,2332000.0
600.0,3775400.0
20.0,243190.0
900.0,4117600.0
200.0,2472800.0
150.0,2097800.0
20.0,243440.0
300.0,3007700.0
900.0,3995300.0
120.0,1814700.0
300.0,2956200.0
90.0,1449600.0
40.0,646020.0
200.0,2424600.0
200.0,2489000.0
40.0,655330.0
600.0,3725500.0
180.0,2347300.0
120.0,1798400.0
50.0,853580.0
10.0,61408.0
1000.0,4164100.0
100.0,1594500.0
900.0,4082900.0
900.0,4122800.0
700.0,3851600.0
80.0,1317400.0
500.0,3580200.0
500.0,3351700.0
1000.0,4156200.0
600.0,3760900.0
700.0,3873300.0
40.0,656980.0
1000.0,4146300.0
70.0,1181000.0
600.0,3727400.0
100.0,1582800.0
120.0,1802500.0
800.0,4054200.0
500.0,3590300.0
200.0,2458300.0
30.0,455190.0
120.0,1808700.0
10.0,42655.0
1000.0,4177400.0
30.0,452550.0
10.0,61194.0
120.0,1567500.0
150.0,2102800.0
500.0,3536800.0
70.0,1161200.0
100.0,1560700.0
200.0,2470200.0
80.0,1330000.0
60.0,888130.0
800.0,4015600.0
70.0,796150.0
90.0,1461000.0
50.0,822940.0
500.0,3589700.0
500.0,3604400.0
70.0,1178800.0
1000.0,4032500.0
500.0,3562000.0
150.0,2107800.0
1000.0,4154300.0
20.0,242500.0
700.0,3890700.0
70.0,1184000.0
800.0,3949400.0
100.0,1590700.0
80.0,1327600.0
20.0,225310.0
10.0,61746.0
40.0,660390.0
20.0,243520.0
10.0,60298.0
50.0,847260.0
10.0,61370.0
100.0,1585000.0
200.0,2441500.0
70.0,1184900.0
60.0,923520.0
200.0,2485500.0
400.0,3320600.0
200.0,2462300.0
60.0,1022000.0
400.0,3348800.0
150.0,2107500.0
800.0,4007600.0
100.0,1605900.0
100.0,1594200.0
900.0,4109800.0
60.0,1019700.0
100.0,1604800.0
500.0,3527800.0
60.0,1026100.0
1000.0,4196600.0
800.0,3938000.0
400.0,3291600.0
1000.0,4229400.0
10.0,60921.0
300.0,3014100.0
40.0,572580.0
400.0,3305600.0
40.0,658690.0
10.0,61592.0
180.0,2309600.0
10.0,61585.0
700.0,3909500.0
1000.0,4217900.0
50.0,628870.0
600.0,3779600.0
90.0,1459300.0
200.0,2474900.0
70.0,1175000.0
800.0,3860200.0
1000.0,4214100.0
60.0,1028300.0
180.0,2324800.0
30.0,449490.0
20.0,242350.0
100.0,1593600.0
100.0,1579200.0
150.0,2078300.0
500.0,3578600.0
150.0,2088800.0
40.0,628700.0
70.0,1164000.0
500.0,3592700.0
70.0,1185400.0
1000.0,4219100.0
10.0,61713.0
700.0,3859400.0
700.0,3835900.0
1000.0,4184400.0
400.0,3315300.0
90.0,1473500.0
1000.0,4217300.0
80.0,1308200.0
70.0,1177700.0
900.0,4124100.0
40.0,576750.0
10.0,61971.0
90.0,829620.0
60.0,1021600.0
400.0,3330800.0
90.0,1460900.0
50.0,848820.0
30.0,448460.0
90.0,1467800.0
300.0,2987600.0
400.0,3341900.0
20.0,243980.0
600.0,3680900.0
800.0,3959900.0
120.0,1814600.0
150.0,2077800.0
30.0,452260.0
70.0,1183800.0
80.0,1327200.0
400.0,3347800.0
900.0,4101300.0
20.0,243370.0
900.0,4086900.0
120.0,1724000.0
200.0,2493600.0
40.0,659390.0
40.0,657450.0
100.0,1586300.0
80.0,1337400.0
40.0,657040.0
90.0,1463000.0
200.0,2486600.0
20.0,235510.0
60.0,1026800.0
150.0,2103200.0
500.0,3544600.0
20.0,241840.0
60.0,1012400.0
150.0,2080000.0
300.0,2955900.0
500.0,3578700.0
10.0,59743.0
200.0,2464800.0
20.0,240880.0
300.0,2941900.0
60.0,516240.0
30.0,453360.0
90.0,1472000.0
20.0,243370.0
50.0,848390.0
180.0,2323500.0
150.0,2100300.0
40.0,657790.0
30.0,449590.0
60.0,1019000.0
30.0,450340.0
400.0,3361800.0
400.0,3342100.0
20.0,244300.0
120.0,1798000.0
30.0,420110.0
50.0,846370.0
80.0,1326500.0
90.0,1452500.0
700.0,3803000.0
30.0,450710.0
1000.0,4205400.0
80.0,1328700.0
400.0,3328700.0
700.0,3938300.0
20.0,242050.0
20.0,241670.0
60.0,639300.0
80.0,1336200.0
150.0,2088100.0
50.0,847660.0
900.0,4116200.0
800.0,4049200.0
10.0,61824.0
10.0,61596.0
120.0,1759900.0
180.0,2345900.0
150.0,2088500.0
120.0,1822700.0
80.0,1319000.0
500.0,3518000.0
80.0,1332300.0
900.0,4131900.0
80.0,1296100.0
300.0,2983500.0
90.0,1443700.0
500.0,3613000.0
50.0,851860.0
1000.0,4156300.0
80.0,1337600.0
200.0,2476900.0
20.0,241720.0
30.0,454890.0
900.0,4153600.0
1000.0,4210200.0
40.0,656330.0
10.0,61850.0
120.0,1779800.0
900.0,4137500.0
700.0,3659700.0
400.0,3298800.0
700.0,3872800.0
300.0,3010400.0
60.0,1014200.0
800.0,4024100.0
800.0,3912800.0
800.0,3977900.0
100.0,1587500.0
500.0,3521600.0
30.0,452400.0
700.0,3832000.0
600.0,3734200.0
900.0,4069000.0
800.0,4007400.0
300.0,2999800.0
40.0,657380.0
800.0,4001800.0
80.0,1318400.0
700.0,3898600.0
60.0,1021300.0
60.0,1031000.0
10.0,61482.0
500.0,3538700.0
80.0,1321500.0
1000.0,4157200.0
700.0,3874100.0
120.0,1814500.0
1000.0,3997200.0
200.0,2480500.0
70.0,1192400.0
500.0,3571000.0
100.0,1491500.0
900.0,3882100.0
10.0,61656.0
900.0,4069800.0
50.0,846790.0
800.0,4030700.0
20.0,242180.0
400.0,3319000.0
10.0,61103.0
60.0,1020600.0
20.0,243980.0
400.0,3336400.0
300.0,2958700.0
90.0,1468100.0
300.0,3016400.0
200.0,2482800.0
30.0,455340.0
50.0,458960.0
10.0,60902.0
90.0,1472600.0
30.0,452520.0
500.0,3565000.0
20.0,240080.0
600.0,3728800.0
500.0,3585400.0
90.0,1459400.0
50.0,779050.0
60.0,1024200.0
70.0,1174300.0
800.0,3998900.0
50.0,849070.0
180.0,2307900.0
10.0,61459.0
30.0,438050.0
70.0,1176600.0
90.0,1466500.0
10.0,60268.0
800.0,4038300.0
700.0,3868900.0
70.0,1184100.0
600.0,3767000.0
100.0,1582300.0
70.0,1179800.0
90.0,1465100.0
600.0,3757600.0
400.0,3250500.0
800.0,4006100.0
800.0,3972600.0
1000.0,4176700.0
700.0,3901900.0
90.0,1457100.0
70.0,703850.0
150.0,2081800.0
90.0,826320.0
70.0,1176000.0
900.0,4097000.0
100.0,1582900.0
700.0,3928500.0
90.0,1452600.0
700.0,3834400.0
30.0,451430.0
40.0,660460.0
40.0,659370.0
1000.0,4205600.0
80.0,1324900.0
600.0,3746000.0
100.0,1602100.0
120.0,1796500.0
700.0,3801900.0
800.0,4019900.0
60.0,1020500.0
60.0,1019000.0
50.0,848510.0
150.0,2096400.0
100.0,1594400.0
90.0,1449100.0
20.0,244020.0
200.0,2412400.0
700.0,3878500.0
400.0,3285800.0
1000.0,4193900.0
800.0,3999000.0
80.0,1311400.0
800.0,4003700.0
80.0,1187200.0
600.0,3748400.0
900.0,4129700.0
200.0,2463100.0
500.0,3587500.0
20.0,126820.0
500.0,3580200.0
700.0,3857900.0
200.0,2487200.0
100.0,1593000.0
700.0,3687100.0
80.0,1322500.0
70.0,1130000.0
150.0,2091600.0
30.0,453960.0
800.0,4013100.0
100.0,1582900.0
500.0,3526800.0
200.0,2336600.0
150.0,2091300.0
300.0,2999700.0
700.0,3792600.0
60.0,1017700.0
10.0,61702.0
700.0,3918300.0
180.0,2321000.0
180.0,2325300.0
400.0,3344100.0
50.0,848180.0
800.0,4014300.0
70.0,1175200.0
180.0,2298900.0
1000.0,4179900.0
400.0,3316900.0
70.0,1187500.0
500.0,3600500.0
90.0,1461600.0
300.0,3006600.0
40.0,610720.0
900.0,4073300.0
120.0,1809100.0
200.0,2487400.0
50.0,846990.0
180.0,2350100.0
300.0,2990000.0
80.0,844130.0
20.0,242950.0
200.0,2475000.0
100.0,1574800.0
100.0,1565000.0
500.0,3609800.0
900.0,4151700.0
20.0,242320.0
30.0,452720.0
150.0,2066300.0
10.0,61507.0
80.0,1321300.0
400.0,3353800.0
400.0,3357700.0
50.0,854820.0
10.0,61172.0
10.0,61479.0
180.0,2341100.0
40.0,640880.0
100.0,1595300.0
800.0,4024300.0
40.0,503680.0
300.0,2600300.0
120.0,1826800.0
800.0,3996000.0
120.0,1804400.0
180.0,2349800.0
400.0,3325600.0
60.0,1023800.0
300.0,3000700.0
50.0,845520.0
40.0,650480.0
100.0,1599800.0
800.0,3948900.0
50.0,842990.0
70.0,1146800.0
10.0,61505.0
600.0,3736400.0
10.0,61586.0
150.0,2076500.0
50.0,840940.0
30.0,454390.0
500.0,3609700.0
40.0,658640.0
120.0,1817600.0
50.0,847400.0
100.0,1597100.0
200.0,2371400.0
60.0,957450.0
120.0,1770500.0
50.0,808510.0
80.0,1309300.0
400.0,3337100.0
100.0,1540500.0
400.0,3357500.0
70.0,1166300.0
900.0,4111200.0
300.0,3009000.0
400.0,3299600.0
900.0,4095300.0
100.0,1576200.0
150.0,2056700.0
10.0,61675.0
100.0,1586800.0
180.0,2349200.0
70.0,1122500.0
150.0,2086000.0
300.0,2971100.0
60.0,1022600.0
80.0,1326700.0
20.0,243830.0
300.0,2970800.0
100.0,1601500.0
30.0,439900.0
800.0,4008700.0
1000.0,4211200.0
10.0,61137.0
100.0,1602400.0
500.0,3571000.0
700.0,3827000.0
600.0,3751500.0
600.0,3770700.0
50.0,852470.0
150.0,1998400.0
700.0,3877100.0
1000.0,4177900.0
90.0,1460700.0
100.0,1511000.0
900.0,4120000.0
50.0,835310.0
400.0,3359200.0
300.0,1957900.0
30.0,453610.0
120.0,1812800.0
150.0,2104500.0
60.0,994880.0
1000.0,4204100.0
1000.0,4204600.0
30.0,451690.0
90.0,1447400.0
30.0,454040.0
20.0,243010.0
60.0,992480.0
800.0,4059400.0
50.0,852320.0
700.0,3950400.0
10.0,61830.0
50.0,844400.0
150.0,2013900.0
40.0,657530.0
700.0,3936700.0
900.0,4108800.0
300.0,2919800.0
120.0,1806300.0
30.0,448060.0
90.0,1465400.0
50.0,845920.0
600.0,3748000.0
1000.0,4208900.0
50.0,850350.0
50.0,844620.0
120.0,1823700.0
300.0,2971300.0
900.0,4049100.0
500.0,3540000.0
60.0,1025200.0
500.0,3565300.0
60.0,927560.0
200.0,2458000.0
50.0,845310.0
800.0,3997800.0
100.0,1583000.0
180.0,2322700.0
120.0,1816100.0
180.0,2335700.0
30.0,449910.0
180.0,2275600.0
30.0,446820.0
900.0,4079300.0
900.0,4130800.0
300.0,2976700.0
800.0,4007700.0
400.0,3216500.0
60.0,1013000.0
80.0,1314500.0
100.0,1594100.0
120.0,1812600.0
600.0,3756300.0
500.0,3585200.0
500.0,3577800.0
40.0,655850.0
500.0,3549100.0
150.0,2107800.0
80.0,1334000.0
40.0,660680.0
60.0,1020100.0
1000.0,4171800.0
900.0,4075600.0
200.0,2468900.0
400.0,3327100.0
600.0,3619200.0
100.0,1593800.0
900.0,4084700.0
80.0,1298500.0
70.0,1155500.0
400.0,3360500.0
700.0,3861000.0
30.0,445080.0
600.0,3756700.0
700.0,3821600.0
700.0,3934300.0
40.0,655500.0
200.0,2440000.0
20.0,241770.0
120.0,1792200.0
600.0,3770500.0
100.0,1583000.0
800.0,3987900.0
70.0,1152300.0
800.0,3963600.0
50.0,848800.0
700.0,3805800.0
1000.0,4163100.0
40.0,660010.0
80.0,1331500.0
1000.0,2220500.0
900.0,4034900.0
800.0,4030100.0
200.0,2442800.0
60.0,1008800.0
30.0,450630.0
90.0,1472600.0
1000.0,4164500.0
300.0,2992200.0
400.0,3364200.0
20.0,220040.0
70.0,1183500.0
200.0,2498300.0
50.0,832280.0
100.0,1589200.0
600.0,3748200.0
600.0,3772800.0
120.0,1782700.0
180.0,2344500.0
180.0,2333900.0
200.0,2458400.0
800.0,4040600.0
120.0,1733700.0
200.0,2476700.0
80.0,1334600.0
120.0,1804500.0
120.0,1812900.0
50.0,851820.0
180.0,2332400.0
900.0,4067500.0
1000.0,4237000.0
70.0,1171500.0
800.0,3986900.0
150.0,1926500.0
180.0,2336100.0
1000.0,4044700.0
400.0,3318200.0
500.0,3574600.0
900.0,4141700.0
20.0,242120.0
70.0,1179000.0
150.0,2087700.0
100.0,1596400.0
300.0,2998200.0
80.0,1311300.0
80.0,1329500.0
60.0,1028200.0
300.0,3003500.0
10.0,56936.0
60.0,1018500.0
900.0,4142200.0
800.0,4011200.0
1000.0,4131100.0
200.0,2482500.0
10.0,61579.0
1000.0,4201800.0
300.0,2978100.0
1000.0,4142400.0
